"","Apr","May","Jun","Jul","Aug","Sep"
"1",14546,23375,15967,21228,32353,19961
"2",17474,24235,17503,26480,28678,28831
"3",20701,22234,22674,21597,23146,32631
"4",26714,13918,22831,14148,24952,38360
"5",19521,17859,28371,10890,28094,42319
"6",13445,19300,24683,11443,30495,40520
"7",19550,21891,20889,18280,32759,30134
"8",16188,27513,15749,25763,30411,30360
"9",16843,26385,23244,27817,26286,34560
"10",20041,22550,22874,30541,20584,35910
"11",20420,14901,25716,28752,22632,36439
"12",18170,17470,29844,25936,29646,39540
"13",12112,19498,31207,21082,29788,43205
"14",12674,22218,19327,27350,30457,28122
"15",20641,26301,14511,33845,28974,29454
"16",17717,32493,17778,28607,26234,36092
"17",20973,22294,21807,30710,21209,35531
"18",18074,16508,24647,29860,21956,40274
"19",14602,18315,28594,25726,24834,41017
"20",11017,20860,24271,21212,27955,38864
"21",13162,23508,19940,23578,32304,28620
"22",16975,26802,16322,29029,29512,28312
"23",20346,26465,17735,34073,27097,30316
"24",23352,14651,20779,32050,22036,31301
"25",25095,10841,26460,29975,22093,38203
"26",24925,10202,28516,27708,24550,37504
"27",14677,17004,24895,22590,27018,39468
"28",15475,22240,21208,23981,28597,29656
"29",22835,24930,17107,27589,27424,29201
"30",36251,24413,18395,30740,23930,33431
"31",NA,21261,NA,33541,23271,NA
