"","all"
"1",14546
"2",17474
"3",20701
"4",26714
"5",19521
"6",13445
"7",19550
"8",16188
"9",16843
"10",20041
"11",20420
"12",18170
"13",12112
"14",12674
"15",20641
"16",17717
"17",20973
"18",18074
"19",14602
"20",11017
"21",13162
"22",16975
"23",20346
"24",23352
"25",25095
"26",24925
"27",14677
"28",15475
"29",22835
"30",36251
"31",23375
"32",24235
"33",22234
"34",13918
"35",17859
"36",19300
"37",21891
"38",27513
"39",26385
"40",22550
"41",14901
"42",17470
"43",19498
"44",22218
"45",26301
"46",32493
"47",22294
"48",16508
"49",18315
"50",20860
"51",23508
"52",26802
"53",26465
"54",14651
"55",10841
"56",10202
"57",17004
"58",22240
"59",24930
"60",24413
"61",15967
"62",17503
"63",22674
"64",22831
"65",28371
"66",24683
"67",20889
"68",15749
"69",23244
"70",22874
"71",25716
"72",29844
"73",31207
"74",19327
"75",14511
"76",17778
"77",21807
"78",24647
"79",28594
"80",24271
"81",19940
"82",16322
"83",17735
"84",20779
"85",26460
"86",28516
"87",24895
"88",21208
"89",17107
"90",18395
"91",21228
"92",26480
"93",21597
"94",14148
"95",10890
"96",11443
"97",18280
"98",25763
"99",27817
"100",30541
"101",28752
"102",25936
"103",21082
"104",27350
"105",33845
"106",28607
"107",30710
"108",29860
"109",25726
"110",21212
"111",23578
"112",29029
"113",34073
"114",32050
"115",29975
"116",27708
"117",22590
"118",23981
"119",27589
"120",30740
"121",32353
"122",28678
"123",23146
"124",24952
"125",28094
"126",30495
"127",32759
"128",30411
"129",26286
"130",20584
"131",22632
"132",29646
"133",29788
"134",30457
"135",28974
"136",26234
"137",21209
"138",21956
"139",24834
"140",27955
"141",32304
"142",29512
"143",27097
"144",22036
"145",22093
"146",24550
"147",27018
"148",28597
"149",27424
"150",23930
"151",19961
"152",28831
"153",32631
"154",38360
"155",42319
"156",40520
"157",30134
"158",30360
"159",34560
"160",35910
"161",36439
"162",39540
"163",43205
"164",28122
"165",29454
"166",36092
"167",35531
"168",40274
"169",41017
"170",38864
"171",28620
"172",28312
"173",30316
"174",31301
"175",38203
"176",37504
"177",39468
"178",29656
"179",29201
"180",33431
